,Mean C1,Mean C2,Mean C3,Mean C4
138,3.573886647694582e-08,-2.3695908180934717e-09,1.7445138888888883e-13,1.744097222222222e-13
139,2.029322517553472e-08,1.7184644139833338e-08,1.779597222222222e-13,1.7790555555555553e-13
140,-5.615160530259028e-09,4.178492721813056e-09,1.814041666666667e-13,1.813583333333334e-13
141,-2.6489779531745834e-08,-1.1628700255681944e-09,1.8598750000000004e-13,1.8593194444444444e-13
142,-1.4393046225370829e-08,-4.586277715471249e-09,1.9065694444444445e-13,1.9061111111111106e-13
143,9.577303320962361e-10,1.515722823175417e-08,1.9624444444444445e-13,1.9622500000000005e-13
144,2.271857673115695e-08,9.345672433684445e-09,2.021805555555556e-13,2.0212361111111108e-13
145,-1.588809506454028e-09,1.1505858278223609e-08,2.0884861111111116e-13,2.0881111111111118e-13
146,6.61272606856028e-10,-6.179766840140418e-10,2.159472222222222e-13,2.1588333333333332e-13
147,-1.5010537355620833e-08,-8.254086858266387e-09,2.2383333333333328e-13,2.237819444444444e-13
148,-2.3792482209898614e-09,-2.4435365418766668e-09,2.32225e-13,2.321888888888889e-13
149,-9.96342653159542e-09,-1.1726328170934723e-09,2.4130833333333334e-13,2.412597222222222e-13
150,6.262219793649027e-09,5.115938887914444e-09,2.510777777777777e-13,2.510347222222222e-13
151,1.1503704157966665e-08,-2.8730679200279166e-09,2.6156388888888883e-13,2.6149305555555555e-13
152,-6.0561438962526395e-09,2.323306134313055e-09,2.7278333333333336e-13,2.727305555555557e-13
153,6.9429168881556964e-09,7.541721618520001e-09,2.8486805555555554e-13,2.847736111111111e-13
154,-1.5074165385693054e-08,7.11753127273861e-09,2.977319444444443e-13,2.9768333333333344e-13
155,-3.748349595934446e-09,-2.8761265478843067e-09,3.1145138888888885e-13,3.11348611111111e-13
156,-2.167592168096667e-09,-1.1628339081259719e-08,3.261680555555555e-13,3.2607500000000005e-13
157,7.504399457503749e-09,-1.1901557878983328e-09,3.418347222222223e-13,3.417458333333334e-13
158,3.064166081875e-09,7.07561005971486e-09,3.5862638888888905e-13,3.5851111111111113e-13
159,-1.120930986240972e-09,4.458197368311111e-10,3.7646250000000007e-13,3.763750000000001e-13
160,3.613308810097917e-09,3.3509304009338897e-09,3.955277777777777e-13,3.9544166666666665e-13
161,-3.815127697271806e-09,-2.884045770967222e-09,4.158333333333332e-13,4.1569583333333334e-13
162,-9.44179632162722e-09,-1.3479230324872228e-09,4.376416666666667e-13,4.375013888888889e-13
163,-6.246697092732917e-10,3.4396053479712503e-09,4.607097222222224e-13,4.605319444444444e-13
164,2.0569227343306937e-09,-3.3051896050302777e-09,4.854083333333333e-13,4.852499999999999e-13
165,5.111663845075695e-09,3.1490183289398607e-09,5.116416666666667e-13,5.115180555555557e-13
166,4.354181290916528e-09,-2.73236882341861e-09,5.396902777777777e-13,5.39572222222222e-13
167,4.7181308346906926e-09,2.893970865685555e-09,5.696458333333334e-13,5.695138888888889e-13
168,-3.492064204025693e-10,9.89758929318028e-10,6.015875e-13,6.013874999999999e-13
169,-8.058026301629306e-09,-1.6325325311850006e-09,6.355861111111111e-13,6.354236111111114e-13
170,-7.334144990956809e-09,-2.4733885691055567e-09,6.718111111111111e-13,6.715833333333333e-13
171,3.5710951776226397e-09,1.0363159547374999e-09,7.106125000000001e-13,7.10498611111111e-13
172,5.803449556806946e-09,-2.432550867188334e-09,7.517624999999998e-13,7.515222222222222e-13
173,2.3141657404097225e-09,-3.062771803568612e-10,7.957791666666667e-13,7.955472222222223e-13
174,-1.725587397073611e-09,-2.242434608178056e-09,8.42352777777778e-13,8.420347222222222e-13
175,-3.146236946478749e-09,5.3809684799208336e-09,8.923611111111111e-13,8.919861111111112e-13
176,-3.489557317229444e-09,1.5409802309227776e-09,9.42159722222222e-13,9.419375e-13
177,2.1458185665638884e-09,5.034666022055694e-09,9.975347222222219e-13,9.971625e-13
178,4.707910953936666e-09,8.184639224489165e-10,9.569708333333333e-13,9.567569444444447e-13
179,3.488321969114445e-09,-1.9019454860427783e-09,1.0089972222222221e-12,1.0084458333333336e-12
180,7.212848196039165e-07,1.414384409499305e-06,5.483138888888888e-13,5.494097222222221e-13
181,9.90861795798e-07,-2.0094078378636102e-07,6.739013888888889e-13,6.758986111111109e-13
182,-4.5184458478129176e-07,-2.149461882215834e-07,4.2384027777777776e-13,4.2428333333333343e-13
183,5.724470350903611e-08,8.972025502517775e-09,3.423666666666667e-13,3.432208333333334e-13
184,2.5045886614213885e-07,-2.171024173734583e-07,3.0051249999999993e-13,3.005888888888888e-13
185,-1.9368427768859723e-08,-8.594891895838055e-08,2.5361944444444444e-13,2.5395972222222234e-13
186,-1.6060894825509724e-07,-7.425400083029307e-08,2.379680555555555e-13,2.381347222222222e-13
187,-6.997200702228472e-09,-1.5412932415526397e-07,2.1491111111111112e-13,2.151097222222222e-13
188,-3.057390504048891e-08,-1.488324988809861e-07,2.0615277777777783e-13,2.0619444444444445e-13
189,3.962899380643194e-08,2.5065443176058335e-08,1.951791666666667e-13,1.953027777777778e-13
190,-2.1555728063680556e-08,9.768627288800001e-08,1.895652777777778e-13,1.895194444444444e-13
191,3.651981519774306e-08,1.9693604418116672e-08,1.8571805555555548e-13,1.857277777777778e-13
192,5.3412632393880556e-08,1.7657771658311113e-08,1.8222083333333331e-13,1.8214305555555554e-13
193,-3.3910841141886116e-08,-2.1340112697602783e-08,1.8206805555555554e-13,1.8201388888888888e-13
194,6.306699360987223e-09,5.0792101673631955e-09,1.803875e-13,1.8033749999999996e-13
195,-5.041713998254721e-09,-5.8512947856475e-09,1.827972222222222e-13,1.8273611111111113e-13
196,-7.563273734221806e-09,1.0986007557011111e-09,1.8268611111111117e-13,1.8262083333333334e-13
197,-4.747095777347778e-09,3.889993842016667e-08,1.8694027777777778e-13,1.8687499999999997e-13
198,1.9144529049108336e-08,2.272198983628056e-08,1.8811944444444447e-13,1.8808888888888888e-13
199,1.1345013779679168e-08,1.0122147965095834e-08,1.9372777777777776e-13,1.9365416666666666e-13
200,-2.4077188523202777e-08,-1.749644400320555e-08,1.9635694444444441e-13,1.9629444444444448e-13
201,-4.808823474367639e-09,-9.735123088036667e-09,2.0323194444444452e-13,2.0314861111111107e-13
202,-9.681083558378329e-09,-1.430715791269722e-08,2.0711250000000002e-13,2.0705277777777779e-13
203,1.5104339908765277e-08,4.045984996634724e-09,2.1510000000000011e-13,2.1503333333333338e-13
204,3.531645483255694e-09,1.0483468374183328e-08,2.204319444444445e-13,2.2036666666666669e-13
205,2.9022321529590278e-09,1.0183366796172222e-08,2.2963750000000004e-13,2.295277777777778e-13
206,3.814542322350138e-09,-1.1576316136779167e-08,2.36286111111111e-13,2.3619305555555544e-13
207,3.917516233155418e-09,-1.3736608477666663e-08,2.4668888888888885e-13,2.4657777777777784e-13
208,-6.594946918375139e-09,-7.543210446956387e-09,2.548777777777777e-13,2.547805555555556e-13
209,-4.1934851601545846e-10,3.739301787149862e-09,2.666055555555557e-13,2.665027777777778e-13
210,-3.9047633559547227e-10,6.158528913765553e-09,2.7637361111111107e-13,2.762472222222222e-13
211,1.3395117584201391e-08,8.555394771018888e-09,2.8965694444444443e-13,2.894972222222223e-13
212,1.5509232758866663e-09,2.2899213140476385e-09,3.011125000000001e-13,3.010347222222222e-13
213,-2.1224761055683333e-09,-1.803697128141945e-08,3.160875000000001e-13,3.159555555555556e-13
214,-5.813549746133335e-09,-7.870159726324446e-11,3.295513888888889e-13,3.293986111111111e-13
215,-1.3297003982577777e-09,-4.714544751121528e-10,3.463402777777778e-13,3.461486111111112e-13
216,-4.898272408855139e-09,6.062682478133333e-09,3.6185e-13,3.6169999999999986e-13
217,-1.1748975888354165e-09,-2.478694511790972e-09,3.8085000000000004e-13,3.806638888888889e-13
218,3.939593602420416e-09,3.1453556564098613e-09,3.987875e-13,3.986138888888888e-13
